Year,Publisher,Games,Sales,Json
2000,Electronic Arts,31,25.13,"{'Publisher':'Electronic Arts','Games':31,'Sales':25.13},"
2000,Empire Interactive,4,1.14,"{'Publisher':'Empire Interactive','Games':4,'Sales':1.14},"
2000,Enix Corporation,3,5.36,"{'Publisher':'Enix Corporation','Games':3,'Sales':5.36},"
2000,Epoch,1,0.15,"{'Publisher':'Epoch','Games':1,'Sales':0.15},"
2000,Fox Interactive,1,0.16,"{'Publisher':'Fox Interactive','Games':1,'Sales':0.16},"
2000,Hasbro Interactive,4,1.33,"{'Publisher':'Hasbro Interactive','Games':4,'Sales':1.33},"
2000,Havas Interactive,1,0.13,"{'Publisher':'Havas Interactive','Games':1,'Sales':0.13},"
2000,Hudson Soft,1,0.16,"{'Publisher':'Hudson Soft','Games':1,'Sales':0.16},"
2000,Imagineer,1,0.27,"{'Publisher':'Imagineer','Games':1,'Sales':0.27},"
2000,Infogrames,11,1.66,"{'Publisher':'Infogrames','Games':11,'Sales':1.66},"
2000,Interplay,3,1,"{'Publisher':'Interplay','Games':3,'Sales':1},"
2000,JVC,1,0.06,"{'Publisher':'JVC','Games':1,'Sales':0.06},"
2000,Konami Digital Entertainment,31,8.47,"{'Publisher':'Konami Digital Entertainment','Games':31,'Sales':8.47},"
2000,LucasArts,1,0.26,"{'Publisher':'LucasArts','Games':1,'Sales':0.26},"
2000,Mattel Interactive,2,0.23,"{'Publisher':'Mattel Interactive','Games':2,'Sales':0.23},"
2000,Media Factory,1,0.14,"{'Publisher':'Media Factory','Games':1,'Sales':0.14},"
2000,Microsoft Game Studios,1,0.99,"{'Publisher':'Microsoft Game Studios','Games':1,'Sales':0.99},"
2000,Midas Interactive Entertainment,7,1.09,"{'Publisher':'Midas Interactive Entertainment','Games':7,'Sales':1.09},"
2000,Midway Games,12,4.2,"{'Publisher':'Midway Games','Games':12,'Sales':4.2},"
2000,Mindscape,1,0.02,"{'Publisher':'Mindscape','Games':1,'Sales':0.02},"
2000,Namco Bandai Games,14,9.7,"{'Publisher':'Namco Bandai Games','Games':14,'Sales':9.7},"
2000,Natsume,1,0.27,"{'Publisher':'Natsume','Games':1,'Sales':0.27},"
2000,NEC Interchannel,2,0.14,"{'Publisher':'NEC Interchannel','Games':2,'Sales':0.14},"
2000,Nintendo,23,34.05,"{'Publisher':'Nintendo','Games':23,'Sales':34.05},"
2000,Pony Canyon,1,0.05,"{'Publisher':'Pony Canyon','Games':1,'Sales':0.05},"
2000,Psygnosis,1,0.12,"{'Publisher':'Psygnosis','Games':1,'Sales':0.12},"
2000,Sega,11,3.88,"{'Publisher':'Sega','Games':11,'Sales':3.88},"
2000,SNK,2,0.18,"{'Publisher':'SNK','Games':2,'Sales':0.18},"
2000,Sony Computer Entertainment,32,21.69,"{'Publisher':'Sony Computer Entertainment','Games':32,'Sales':21.69},"
2000,SquareSoft,4,6.55,"{'Publisher':'SquareSoft','Games':4,'Sales':6.55},"
2000,Success,1,0.01,"{'Publisher':'Success','Games':1,'Sales':0.01},"
2000,Sunrise Interactive,2,0.13,"{'Publisher':'Sunrise Interactive','Games':2,'Sales':0.13},"
2000,Sunsoft,1,0.25,"{'Publisher':'Sunsoft','Games':1,'Sales':0.25},"
2000,Swing! Entertainment,2,0.18,"{'Publisher':'Swing! Entertainment','Games':2,'Sales':0.18},"
2000,Take-Two Interactive,6,6.03,"{'Publisher':'Take-Two Interactive','Games':6,'Sales':6.03},"
2000,TDK Core,1,0.18,"{'Publisher':'TDK Core','Games':1,'Sales':0.18},"
2000,Tecmo Koei,10,1.87,"{'Publisher':'Tecmo Koei','Games':10,'Sales':1.87},"
2000,The Learning Company,1,0.05,"{'Publisher':'The Learning Company','Games':1,'Sales':0.05},"
2000,THQ,15,15.86,"{'Publisher':'THQ','Games':15,'Sales':15.86},"
2000,Titus,2,0.08,"{'Publisher':'Titus','Games':2,'Sales':0.08},"
2000,Ubisoft,21,4.75,"{'Publisher':'Ubisoft','Games':21,'Sales':4.75},"
2000,Vatical Entertainment,2,0.22,"{'Publisher':'Vatical Entertainment','Games':2,'Sales':0.22},"
2000,Victor Interactive,1,0.18,"{'Publisher':'Victor Interactive','Games':1,'Sales':0.18},"
2000,Video System,1,0.11,"{'Publisher':'Video System','Games':1,'Sales':0.11},"
2000,Virgin Interactive,6,2.55,"{'Publisher':'Virgin Interactive','Games':6,'Sales':2.55},"
2000,Vivendi Games,1,0.1,"{'Publisher':'Vivendi Games','Games':1,'Sales':0.1},"
2001,3DO,11,1.45,"{'Publisher':'3DO','Games':11,'Sales':1.45},"
2001,Acclaim Entertainment,24,9.69,"{'Publisher':'Acclaim Entertainment','Games':24,'Sales':9.69},"
2001,Activision,23,18.59,"{'Publisher':'Activision','Games':23,'Sales':18.59},"
2001,Activision Value,1,0.21,"{'Publisher':'Activision Value','Games':1,'Sales':0.21},"
2001,Altron,1,0.07,"{'Publisher':'Altron','Games':1,'Sales':0.07},"
2001,ArtDink,2,0.05,"{'Publisher':'ArtDink','Games':2,'Sales':0.05},"
2001,ASCII Entertainment,1,0.32,"{'Publisher':'ASCII Entertainment','Games':1,'Sales':0.32},"
2001,Atari,9,8.05,"{'Publisher':'Atari','Games':9,'Sales':8.05},"
2001,Athena,1,0.07,"{'Publisher':'Athena','Games':1,'Sales':0.07},"
2001,Atlus,1,0.09,"{'Publisher':'Atlus','Games':1,'Sales':0.09},"
2001,BAM! Entertainment,7,1.21,"{'Publisher':'BAM! Entertainment','Games':7,'Sales':1.21},"
2001,Banpresto,4,1.45,"{'Publisher':'Banpresto','Games':4,'Sales':1.45},"
2001,Berkeley,1,0.03,"{'Publisher':'Berkeley','Games':1,'Sales':0.03},"
2001,Blue Byte,2,0.03,"{'Publisher':'Blue Byte','Games':2,'Sales':0.03},"
2001,Capcom,10,7.95,"{'Publisher':'Capcom','Games':10,'Sales':7.95},"
2001,Codemasters,4,1.59,"{'Publisher':'Codemasters','Games':4,'Sales':1.59},"
2001,Conspiracy Entertainment,2,0.29,"{'Publisher':'Conspiracy Entertainment','Games':2,'Sales':0.29},"
2001,D3Publisher,2,0.62,"{'Publisher':'D3Publisher','Games':2,'Sales':0.62},"
2001,"Destination Software, Inc",1,0.13,"{'Publisher':'Destination Software, Inc','Games':1,'Sales':0.13},"
2001,DreamCatcher Interactive,1,0.05,"{'Publisher':'DreamCatcher Interactive','Games':1,'Sales':0.05},"
2001,Eidos Interactive,10,2.21,"{'Publisher':'Eidos Interactive','Games':10,'Sales':2.21},"
2001,Electronic Arts,43,45.12,"{'Publisher':'Electronic Arts','Games':43,'Sales':45.12},"
2001,Empire Interactive,2,1,"{'Publisher':'Empire Interactive','Games':2,'Sales':1},"
2001,Encore,1,0.03,"{'Publisher':'Encore','Games':1,'Sales':0.03},"
2001,Enix Corporation,3,2.91,"{'Publisher':'Enix Corporation','Games':3,'Sales':2.91},"
2001,Enterbrain,2,0.43,"{'Publisher':'Enterbrain','Games':2,'Sales':0.43},"
2001,From Software,1,0.09,"{'Publisher':'From Software','Games':1,'Sales':0.09},"
2001,Gathering of Developers,3,0.67,"{'Publisher':'Gathering of Developers','Games':3,'Sales':0.67},"
2001,Genki,1,0.06,"{'Publisher':'Genki','Games':1,'Sales':0.06},"
2001,Gust,1,0.09,"{'Publisher':'Gust','Games':1,'Sales':0.09},"
2001,Hasbro Interactive,1,0.17,"{'Publisher':'Hasbro Interactive','Games':1,'Sales':0.17},"
2001,Hudson Entertainment,3,0.12,"{'Publisher':'Hudson Entertainment','Games':3,'Sales':0.12},"
2001,Hudson Soft,1,0.49,"{'Publisher':'Hudson Soft','Games':1,'Sales':0.49},"
2001,Imagineer,1,0.12,"{'Publisher':'Imagineer','Games':1,'Sales':0.12},"
2001,Infogrames,10,2.12,"{'Publisher':'Infogrames','Games':10,'Sales':2.12},"
2001,Interplay,3,0.63,"{'Publisher':'Interplay','Games':3,'Sales':0.63},"
2001,Kemco,1,0.1,"{'Publisher':'Kemco','Games':1,'Sales':0.1},"
2001,Konami Digital Entertainment,39,21.89,"{'Publisher':'Konami Digital Entertainment','Games':39,'Sales':21.89},"
2001,LEGO Media,2,0.24,"{'Publisher':'LEGO Media','Games':2,'Sales':0.24},"
2001,LucasArts,4,2.58,"{'Publisher':'LucasArts','Games':4,'Sales':2.58},"
2001,Magix,1,0.31,"{'Publisher':'Magix','Games':1,'Sales':0.31},"
2001,Majesco Entertainment,3,1.09,"{'Publisher':'Majesco Entertainment','Games':3,'Sales':1.09},"
2001,Max Five,1,0.05,"{'Publisher':'Max Five','Games':1,'Sales':0.05},"
2001,Media Factory,1,0.15,"{'Publisher':'Media Factory','Games':1,'Sales':0.15},"
2001,Metro 3D,3,0.6,"{'Publisher':'Metro 3D','Games':3,'Sales':0.6},"
2001,Microsoft Game Studios,10,13.49,"{'Publisher':'Microsoft Game Studios','Games':10,'Sales':13.49},"
2001,Midas Interactive Entertainment,4,0.56,"{'Publisher':'Midas Interactive Entertainment','Games':4,'Sales':0.56},"
2001,Midway Games,11,5.18,"{'Publisher':'Midway Games','Games':11,'Sales':5.18},"
2001,Namco Bandai Games,12,7.88,"{'Publisher':'Namco Bandai Games','Games':12,'Sales':7.88},"
2001,Natsume,1,0.09,"{'Publisher':'Natsume','Games':1,'Sales':0.09},"
2001,NewKidCo,1,0.01,"{'Publisher':'NewKidCo','Games':1,'Sales':0.01},"
2001,Nintendo,22,45.37,"{'Publisher':'Nintendo','Games':22,'Sales':45.37},"
2001,Pioneer LDC,1,0.05,"{'Publisher':'Pioneer LDC','Games':1,'Sales':0.05},"
2001,Rage Software,2,0.14,"{'Publisher':'Rage Software','Games':2,'Sales':0.14},"
2001,Rebellion,1,0.48,"{'Publisher':'Rebellion','Games':1,'Sales':0.48},"
2001,Red Storm Entertainment,1,0.04,"{'Publisher':'Red Storm Entertainment','Games':1,'Sales':0.04},"
2001,Sammy Corporation,2,0.34,"{'Publisher':'Sammy Corporation','Games':2,'Sales':0.34},"
2001,Sega,9,6.6,"{'Publisher':'Sega','Games':9,'Sales':6.6},"
2001,Sony Computer Entertainment,38,43.29,"{'Publisher':'Sony Computer Entertainment','Games':38,'Sales':43.29},"
2001,Sony Computer Entertainment Europe,1,3.17,"{'Publisher':'Sony Computer Entertainment Europe','Games':1,'Sales':3.17},"
2001,Sony Music Entertainment,1,0.14,"{'Publisher':'Sony Music Entertainment','Games':1,'Sales':0.14},"
2001,Spike,1,0.13,"{'Publisher':'Spike','Games':1,'Sales':0.13},"
2001,Square,1,0.52,"{'Publisher':'Square','Games':1,'Sales':0.52},"
2001,SquareSoft,1,0.25,"{'Publisher':'SquareSoft','Games':1,'Sales':0.25},"
2001,Starfish,1,0.05,"{'Publisher':'Starfish','Games':1,'Sales':0.05},"
2001,Strategy First,1,0.03,"{'Publisher':'Strategy First','Games':1,'Sales':0.03},"
2001,Success,1,0.09,"{'Publisher':'Success','Games':1,'Sales':0.09},"
2001,Swing! Entertainment,2,0.11,"{'Publisher':'Swing! Entertainment','Games':2,'Sales':0.11},"
2001,Taito,1,0.06,"{'Publisher':'Taito','Games':1,'Sales':0.06},"
2001,Takara,2,0.28,"{'Publisher':'Takara','Games':2,'Sales':0.28},"
2001,Take-Two Interactive,12,20.43,"{'Publisher':'Take-Two Interactive','Games':12,'Sales':20.43},"
2001,TalonSoft,1,0.87,"{'Publisher':'TalonSoft','Games':1,'Sales':0.87},"
2001,TDK Mediactive,5,0.75,"{'Publisher':'TDK Mediactive','Games':5,'Sales':0.75},"
2001,Tecmo Koei,4,0.71,"{'Publisher':'Tecmo Koei','Games':4,'Sales':0.71},"
2001,THQ,36,22.25,"{'Publisher':'THQ','Games':36,'Sales':22.25},"
2001,Titus,4,0.99,"{'Publisher':'Titus','Games':4,'Sales':0.99},"
2001,Ubisoft,25,4.99,"{'Publisher':'Ubisoft','Games':25,'Sales':4.99},"
2001,Universal Interactive,2,5.92,"{'Publisher':'Universal Interactive','Games':2,'Sales':5.92},"
2001,Unknown,3,2.25,"{'Publisher':'Unknown','Games':3,'Sales':2.25},"
2001,Victor Interactive,2,0.1,"{'Publisher':'Victor Interactive','Games':2,'Sales':0.1},"
2001,Virgin Interactive,6,4.57,"{'Publisher':'Virgin Interactive','Games':6,'Sales':4.57},"
2001,Vivendi Games,4,3.94,"{'Publisher':'Vivendi Games','Games':4,'Sales':3.94},"
2001,Wanadoo,1,0.14,"{'Publisher':'Wanadoo','Games':1,'Sales':0.14},"
2002,3DO,4,0.6,"{'Publisher':'3DO','Games':4,'Sales':0.6},"
2002,505 Games,1,0.29,"{'Publisher':'505 Games','Games':1,'Sales':0.29},"
2002,Acclaim Entertainment,33,7.75,"{'Publisher':'Acclaim Entertainment','Games':33,'Sales':7.75},"
2002,Activision,50,25.94,"{'Publisher':'Activision','Games':50,'Sales':25.94},"
2002,Activision Value,1,0.09,"{'Publisher':'Activision Value','Games':1,'Sales':0.09},"
2002,Agetec,2,1.29,"{'Publisher':'Agetec','Games':2,'Sales':1.29},"
2002,Arika,1,0.02,"{'Publisher':'Arika','Games':1,'Sales':0.02},"
2002,Atari,47,21.25,"{'Publisher':'Atari','Games':47,'Sales':21.25},"
2002,Atlus,3,0.09,"{'Publisher':'Atlus','Games':3,'Sales':0.09},"
2002,Avalon Interactive,1,0.05,"{'Publisher':'Avalon Interactive','Games':1,'Sales':0.05},"
2002,BAM! Entertainment,18,2.88,"{'Publisher':'BAM! Entertainment','Games':18,'Sales':2.88},"
2002,Banpresto,4,1.02,"{'Publisher':'Banpresto','Games':4,'Sales':1.02},"
2002,Bethesda Softworks,1,1.31,"{'Publisher':'Bethesda Softworks','Games':1,'Sales':1.31},"
2002,Big Ben Interactive,1,0.09,"{'Publisher':'Big Ben Interactive','Games':1,'Sales':0.09},"
2002,Black Label Games,1,1.2,"{'Publisher':'Black Label Games','Games':1,'Sales':1.2},"
2002,Capcom,19,9.85,"{'Publisher':'Capcom','Games':19,'Sales':9.85},"
2002,ChunSoft,1,0.36,"{'Publisher':'ChunSoft','Games':1,'Sales':0.36},"
2002,Codemasters,5,1.78,"{'Publisher':'Codemasters','Games':5,'Sales':1.78},"
2002,Conspiracy Entertainment,1,0.03,"{'Publisher':'Conspiracy Entertainment','Games':1,'Sales':0.03},"
2002,Crave Entertainment,2,0.42,"{'Publisher':'Crave Entertainment','Games':2,'Sales':0.42},"
2002,Datam Polystar,1,0.02,"{'Publisher':'Datam Polystar','Games':1,'Sales':0.02},"
2002,"Destination Software, Inc",1,0.02,"{'Publisher':'Destination Software, Inc','Games':1,'Sales':0.02},"
2002,DigiCube,1,0.06,"{'Publisher':'DigiCube','Games':1,'Sales':0.06},"
2002,Disney Interactive Studios,1,0.25,"{'Publisher':'Disney Interactive Studios','Games':1,'Sales':0.25},"
2002,Eidos Interactive,15,6.88,"{'Publisher':'Eidos Interactive','Games':15,'Sales':6.88},"
2002,Electronic Arts,88,73.01,"{'Publisher':'Electronic Arts','Games':88,'Sales':73.01},"
2002,Empire Interactive,8,1.36,"{'Publisher':'Empire Interactive','Games':8,'Sales':1.36},"
2002,Enix Corporation,5,1.35,"{'Publisher':'Enix Corporation','Games':5,'Sales':1.35},"
2002,Enterbrain,3,0.33,"{'Publisher':'Enterbrain','Games':3,'Sales':0.33},"
2002,ESP,1,0.03,"{'Publisher':'ESP','Games':1,'Sales':0.03},"
2002,From Software,1,0.11,"{'Publisher':'From Software','Games':1,'Sales':0.11},"
2002,Gotham Games,1,1.57,"{'Publisher':'Gotham Games','Games':1,'Sales':1.57},"
2002,Gust,1,0.07,"{'Publisher':'Gust','Games':1,'Sales':0.07},"
2002,Hamster Corporation,1,0.28,"{'Publisher':'Hamster Corporation','Games':1,'Sales':0.28},"
2002,Hudson Soft,4,0.65,"{'Publisher':'Hudson Soft','Games':4,'Sales':0.65},"
2002,Idea Factory,1,0.05,"{'Publisher':'Idea Factory','Games':1,'Sales':0.05},"
2002,Ignition Entertainment,2,0.53,"{'Publisher':'Ignition Entertainment','Games':2,'Sales':0.53},"
2002,Infogrames,22,8.46,"{'Publisher':'Infogrames','Games':22,'Sales':8.46},"
2002,Interplay,2,0.39,"{'Publisher':'Interplay','Games':2,'Sales':0.39},"
2002,Jaleco,2,0.06,"{'Publisher':'Jaleco','Games':2,'Sales':0.06},"
2002,Jester Interactive,1,0.71,"{'Publisher':'Jester Interactive','Games':1,'Sales':0.71},"
2002,Jorudan,1,0.36,"{'Publisher':'Jorudan','Games':1,'Sales':0.36},"
2002,JoWood Productions,1,0.02,"{'Publisher':'JoWood Productions','Games':1,'Sales':0.02},"
2002,Kemco,4,0.06,"{'Publisher':'Kemco','Games':4,'Sales':0.06},"
2002,King Records,1,0.02,"{'Publisher':'King Records','Games':1,'Sales':0.02},"
2002,Konami Digital Entertainment,55,12.42,"{'Publisher':'Konami Digital Entertainment','Games':55,'Sales':12.42},"
2002,LEGO Media,1,0.14,"{'Publisher':'LEGO Media','Games':1,'Sales':0.14},"
2002,Liquid Games,1,0.26,"{'Publisher':'Liquid Games','Games':1,'Sales':0.26},"
2002,LSP Games,1,0.03,"{'Publisher':'LSP Games','Games':1,'Sales':0.03},"
2002,LucasArts,4,2.16,"{'Publisher':'LucasArts','Games':4,'Sales':2.16},"
2002,Majesco Entertainment,1,0.05,"{'Publisher':'Majesco Entertainment','Games':1,'Sales':0.05},"
2002,Marvelous Interactive,1,0.08,"{'Publisher':'Marvelous Interactive','Games':1,'Sales':0.08},"
2002,Media Entertainment,1,0.01,"{'Publisher':'Media Entertainment','Games':1,'Sales':0.01},"
2002,Media Rings,1,0.19,"{'Publisher':'Media Rings','Games':1,'Sales':0.19},"
2002,Metro 3D,2,0.75,"{'Publisher':'Metro 3D','Games':2,'Sales':0.75},"
2002,Microids,3,0.08,"{'Publisher':'Microids','Games':3,'Sales':0.08},"
2002,Microsoft Game Studios,20,6.96,"{'Publisher':'Microsoft Game Studios','Games':20,'Sales':6.96},"
2002,Midas Interactive Entertainment,2,0.56,"{'Publisher':'Midas Interactive Entertainment','Games':2,'Sales':0.56},"
2002,Midway Games,33,8.34,"{'Publisher':'Midway Games','Games':33,'Sales':8.34},"
2002,Namco Bandai Games,25,12.98,"{'Publisher':'Namco Bandai Games','Games':25,'Sales':12.98},"
2002,Natsume,3,0.47,"{'Publisher':'Natsume','Games':3,'Sales':0.47},"
2002,NDA Productions,1,0.12,"{'Publisher':'NDA Productions','Games':1,'Sales':0.12},"
2002,NewKidCo,1,0.26,"{'Publisher':'NewKidCo','Games':1,'Sales':0.26},"
2002,Nintendo,22,48.31,"{'Publisher':'Nintendo','Games':22,'Sales':48.31},"
2002,Nippon Amuse,1,0.09,"{'Publisher':'Nippon Amuse','Games':1,'Sales':0.09},"
2002,Pacific Century Cyber Works,1,0.26,"{'Publisher':'Pacific Century Cyber Works','Games':1,'Sales':0.26},"
2002,Phantagram,1,0.05,"{'Publisher':'Phantagram','Games':1,'Sales':0.05},"
2002,Play It,2,1.15,"{'Publisher':'Play It','Games':2,'Sales':1.15},"
2002,Playmore,1,0.04,"{'Publisher':'Playmore','Games':1,'Sales':0.04},"
2002,Princess Soft,1,0.02,"{'Publisher':'Princess Soft','Games':1,'Sales':0.02},"
2002,Rage Software,5,1.28,"{'Publisher':'Rage Software','Games':5,'Sales':1.28},"
2002,Rebellion,1,0.01,"{'Publisher':'Rebellion','Games':1,'Sales':0.01},"
2002,Sammy Corporation,5,0.96,"{'Publisher':'Sammy Corporation','Games':5,'Sales':0.96},"
2002,SCi,1,0.87,"{'Publisher':'SCi','Games':1,'Sales':0.87},"
2002,Sega,39,12.3,"{'Publisher':'Sega','Games':39,'Sales':12.3},"
2002,Simon & Schuster Interactive,1,0.11,"{'Publisher':'Simon & Schuster Interactive','Games':1,'Sales':0.11},"
2002,Sony Computer Entertainment,30,25.85,"{'Publisher':'Sony Computer Entertainment','Games':30,'Sales':25.85},"
2002,Spike,1,0.12,"{'Publisher':'Spike','Games':1,'Sales':0.12},"
2002,SquareSoft,2,0.12,"{'Publisher':'SquareSoft','Games':2,'Sales':0.12},"
2002,Success,1,0.03,"{'Publisher':'Success','Games':1,'Sales':0.03},"
2002,Swing! Entertainment,1,0.14,"{'Publisher':'Swing! Entertainment','Games':1,'Sales':0.14},"
2002,Taito,3,0.23,"{'Publisher':'Taito','Games':3,'Sales':0.23},"
2002,Takara,2,0.04,"{'Publisher':'Takara','Games':2,'Sales':0.04},"
2002,Take-Two Interactive,8,20.29,"{'Publisher':'Take-Two Interactive','Games':8,'Sales':20.29},"
2002,TDK Core,1,0.19,"{'Publisher':'TDK Core','Games':1,'Sales':0.19},"
2002,TDK Mediactive,16,3.48,"{'Publisher':'TDK Mediactive','Games':16,'Sales':3.48},"
2002,Tecmo Koei,11,2.3,"{'Publisher':'Tecmo Koei','Games':11,'Sales':2.3},"
2002,THQ,55,26.88,"{'Publisher':'THQ','Games':55,'Sales':26.88},"
2002,Titus,4,0.4,"{'Publisher':'Titus','Games':4,'Sales':0.4},"
2002,Ubisoft,44,16.21,"{'Publisher':'Ubisoft','Games':44,'Sales':16.21},"
2002,Universal Interactive,14,8.75,"{'Publisher':'Universal Interactive','Games':14,'Sales':8.75},"
2002,Unknown,3,0.1,"{'Publisher':'Unknown','Games':3,'Sales':0.1},"
2002,Victor Interactive,1,0.02,"{'Publisher':'Victor Interactive','Games':1,'Sales':0.02},"
2002,Virgin Interactive,4,0.54,"{'Publisher':'Virgin Interactive','Games':4,'Sales':0.54},"
2002,Vivendi Games,16,4.35,"{'Publisher':'Vivendi Games','Games':16,'Sales':4.35},"
2002,Wanadoo,1,0.46,"{'Publisher':'Wanadoo','Games':1,'Sales':0.46},"
2002,Xicat Interactive,2,0.14,"{'Publisher':'Xicat Interactive','Games':2,'Sales':0.14},"
2002,XS Games,1,0.24,"{'Publisher':'XS Games','Games':1,'Sales':0.24},"
2002,Zoo Digital Publishing,6,0.37,"{'Publisher':'Zoo Digital Publishing','Games':6,'Sales':0.37},"
2003,3DO,3,0.45,"{'Publisher':'3DO','Games':3,'Sales':0.45},"
2003,505 Games,1,0.1,"{'Publisher':'505 Games','Games':1,'Sales':0.1},"
2003,Acclaim Entertainment,28,4.66,"{'Publisher':'Acclaim Entertainment','Games':28,'Sales':4.66},"
2003,Activision,34,21.38,"{'Publisher':'Activision','Games':34,'Sales':21.38},"
2003,Activision Value,2,0.97,"{'Publisher':'Activision Value','Games':2,'Sales':0.97},"
2003,Agetec,2,0.39,"{'Publisher':'Agetec','Games':2,'Sales':0.39},"
2003,Aspyr,1,0.02,"{'Publisher':'Aspyr','Games':1,'Sales':0.02},"
2003,Atari,40,17.04,"{'Publisher':'Atari','Games':40,'Sales':17.04},"
2003,Atlus,3,0.19,"{'Publisher':'Atlus','Games':3,'Sales':0.19},"
2003,Avalon Interactive,1,0.04,"{'Publisher':'Avalon Interactive','Games':1,'Sales':0.04},"
2003,BAM! Entertainment,6,0.65,"{'Publisher':'BAM! Entertainment','Games':6,'Sales':0.65},"
2003,Banpresto,6,1.31,"{'Publisher':'Banpresto','Games':6,'Sales':1.31},"
2003,Bethesda Softworks,1,0.2,"{'Publisher':'Bethesda Softworks','Games':1,'Sales':0.2},"
2003,Capcom,31,9.13,"{'Publisher':'Capcom','Games':31,'Sales':9.13},"
2003,CCP,1,0.22,"{'Publisher':'CCP','Games':1,'Sales':0.22},"
2003,Codemasters,7,2.39,"{'Publisher':'Codemasters','Games':7,'Sales':2.39},"
2003,Crave Entertainment,1,0.07,"{'Publisher':'Crave Entertainment','Games':1,'Sales':0.07},"
2003,"Destination Software, Inc",1,0.05,"{'Publisher':'Destination Software, Inc','Games':1,'Sales':0.05},"
2003,Disney Interactive Studios,2,0.58,"{'Publisher':'Disney Interactive Studios','Games':2,'Sales':0.58},"
2003,DreamCatcher Interactive,2,0.12,"{'Publisher':'DreamCatcher Interactive','Games':2,'Sales':0.12},"
2003,Eidos Interactive,17,6.07,"{'Publisher':'Eidos Interactive','Games':17,'Sales':6.07},"
2003,Electronic Arts,85,69.83,"{'Publisher':'Electronic Arts','Games':85,'Sales':69.83},"
2003,Empire Interactive,6,2.41,"{'Publisher':'Empire Interactive','Games':6,'Sales':2.41},"
2003,Encore,2,0.02,"{'Publisher':'Encore','Games':2,'Sales':0.02},"
2003,Enix Corporation,1,0.66,"{'Publisher':'Enix Corporation','Games':1,'Sales':0.66},"
2003,Game Factory,1,0.04,"{'Publisher':'Game Factory','Games':1,'Sales':0.04},"
2003,Gathering of Developers,2,0.06,"{'Publisher':'Gathering of Developers','Games':2,'Sales':0.06},"
2003,Genki,2,1.09,"{'Publisher':'Genki','Games':2,'Sales':1.09},"
2003,Ghostlight,1,0.38,"{'Publisher':'Ghostlight','Games':1,'Sales':0.38},"
2003,Gotham Games,5,1.54,"{'Publisher':'Gotham Games','Games':5,'Sales':1.54},"
2003,Hudson Entertainment,1,0.07,"{'Publisher':'Hudson Entertainment','Games':1,'Sales':0.07},"
2003,Hudson Soft,3,0.56,"{'Publisher':'Hudson Soft','Games':3,'Sales':0.56},"
2003,Ignition Entertainment,4,0.23,"{'Publisher':'Ignition Entertainment','Games':4,'Sales':0.23},"
2003,Infogrames,2,0.14,"{'Publisher':'Infogrames','Games':2,'Sales':0.14},"
2003,Interplay,2,0.6,"{'Publisher':'Interplay','Games':2,'Sales':0.6},"
2003,Jaleco,7,0.39,"{'Publisher':'Jaleco','Games':7,'Sales':0.39},"
2003,Jester Interactive,1,0.04,"{'Publisher':'Jester Interactive','Games':1,'Sales':0.04},"
2003,Jorudan,1,0.29,"{'Publisher':'Jorudan','Games':1,'Sales':0.29},"
2003,Kemco,6,0.69,"{'Publisher':'Kemco','Games':6,'Sales':0.69},"
2003,Knowledge Adventure,2,0.61,"{'Publisher':'Knowledge Adventure','Games':2,'Sales':0.61},"
2003,Konami Digital Entertainment,27,13.97,"{'Publisher':'Konami Digital Entertainment','Games':27,'Sales':13.97},"
2003,Kool Kizz,1,0.04,"{'Publisher':'Kool Kizz','Games':1,'Sales':0.04},"
2003,LSP Games,3,0.09,"{'Publisher':'LSP Games','Games':3,'Sales':0.09},"
2003,LucasArts,8,2.19,"{'Publisher':'LucasArts','Games':8,'Sales':2.19},"
2003,Majesco Entertainment,2,0.71,"{'Publisher':'Majesco Entertainment','Games':2,'Sales':0.71},"
2003,Marvelous Interactive,1,0.03,"{'Publisher':'Marvelous Interactive','Games':1,'Sales':0.03},"
2003,Metro 3D,3,0.32,"{'Publisher':'Metro 3D','Games':3,'Sales':0.32},"
2003,Microids,2,0.12,"{'Publisher':'Microids','Games':2,'Sales':0.12},"
2003,Microsoft Game Studios,28,8.92,"{'Publisher':'Microsoft Game Studios','Games':28,'Sales':8.92},"
2003,Midway Games,24,4.51,"{'Publisher':'Midway Games','Games':24,'Sales':4.51},"
2003,Mindscape,2,0.19,"{'Publisher':'Mindscape','Games':2,'Sales':0.19},"
2003,Mud Duck Productions,1,0.3,"{'Publisher':'Mud Duck Productions','Games':1,'Sales':0.3},"
2003,Namco Bandai Games,23,10.46,"{'Publisher':'Namco Bandai Games','Games':23,'Sales':10.46},"
2003,Natsume,1,0.37,"{'Publisher':'Natsume','Games':1,'Sales':0.37},"
2003,NewKidCo,3,0.14,"{'Publisher':'NewKidCo','Games':3,'Sales':0.14},"
2003,Nintendo,27,38.14,"{'Publisher':'Nintendo','Games':27,'Sales':38.14},"
2003,Play It,2,0.31,"{'Publisher':'Play It','Games':2,'Sales':0.31},"
2003,Sammy Corporation,1,0.16,"{'Publisher':'Sammy Corporation','Games':1,'Sales':0.16},"
2003,SCi,8,1.52,"{'Publisher':'SCi','Games':8,'Sales':1.52},"
2003,Sega,32,12.53,"{'Publisher':'Sega','Games':32,'Sales':12.53},"
