Publisher,Games,Sales,Json
Capcom,3,3.92,"{'Publisher':'Capcom','Games':3,'Sales':3.92},"
Enix Corporation,1,3.12,"{'Publisher':'Enix Corporation','Games':1,'Sales':3.12},"
Konami Digital Entertainment,1,2.23,"{'Publisher':'Konami Digital Entertainment','Games':1,'Sales':2.23},"
Namco Bandai Games,2,0.63,"{'Publisher':'Namco Bandai Games','Games':2,'Sales':0.63},"
Nintendo,7,35.49,"{'Publisher':'Nintendo','Games':7,'Sales':35.49},"
Sega,1,2.6,"{'Publisher':'Sega','Games':1,'Sales':2.6},"
SquareSoft,1,1.4,"{'Publisher':'SquareSoft','Games':1,'Sales':1.4},"
